run_enrollment_id,emp_code,class_code,course_name,old_status,new_status,old_start_session_number,new_start_session_number
269,237245,EL026,Communication 1,active,completed,1,1
270,227188,EL026,Communication 1,active,completed,1,1
278,227214,EL027,Communication 1,active,completed,1,1
279,237226,EL027,Communication 1,active,completed,1,1
281,193584,EL027,Communication 1,active,completed,1,1
282,213929,EL027,Communication 1,active,completed,1,1
283,227058,EL027,Communication 1,active,completed,1,1
284,247083,EL027,Communication 1,active,completed,1,1
285,247178,EL027,Communication 1,active,completed,1,1
286,143084,EL027,Communication 1,active,completed,1,1
287,227214,EL027,Communication 2,active,completed,1,1
288,237226,EL027,Communication 2,active,completed,1,1
289,173272,EL027,Communication 2,active,completed,1,1
290,193584,EL027,Communication 2,active,completed,1,1
291,203790,EL027,Communication 2,active,completed,1,1
292,247083,EL027,Communication 2,active,completed,1,1
293,247178,EL027,Communication 2,active,completed,1,1
295,143084,EL027,Communication 2,active,completed,1,1
322,247098,EL031,Communication 1,active,completed,1,1
323,237156,EL031,Communication 1,active,completed,1,1
324,247119,EL031,Communication 1,active,completed,1,1
325,203764,EL031,Communication 1,active,completed,1,1
326,213808,EL032,Communication 1,active,completed,1,1
327,193536,EL032,Communication 1,active,completed,1,1
328,213975,EL032,Communication 1,active,completed,1,1
329,213889,EL032,Communication 1,active,completed,1,1
334,213889,EL032,Communication 2,active,completed,1,1
335,163188,EL032,Communication 2,active,completed,1,1
339,193588,EL033,Communication 1,active,completed,1,1
340,213815,EL033,Communication 1,active,completed,1,1
341,113024,EL033,Communication 1,active,completed,1,1
342,213914,EL033,Communication 1,active,completed,1,1
343,213861,EL033,Communication 1,active,completed,1,1
344,213851,EL033,Communication 1,active,completed,1,1
345,247223,EL033,Communication 1,active,completed,1,1
346,193588,EL033,Communication 2,active,completed,1,1
347,193445,EL033,Communication 2,active,completed,1,1
351,213968,EL033,Communication 2,active,completed,1,1
355,237147,EL034,Business English,active,completed,1,1
356,213859,EL034,Business English,active,completed,1,1
357,193632,EL034,Business English,active,completed,1,1
358,247263,EL034,Business English,active,completed,1,1
359,247088,EL034,Business English,active,completed,1,1
360,247262,EL034,Business English,active,completed,1,1
361,227097,EL034,Business English,active,completed,1,1
362,237147,EL034,Communication 1,active,completed,1,1
364,213859,EL034,Communication 1,active,completed,1,1
365,193632,EL034,Communication 1,active,completed,1,1
368,247263,EL034,Communication 1,active,completed,1,1
369,247088,EL034,Communication 1,active,completed,1,1
370,247262,EL034,Communication 1,active,completed,1,1
371,227097,EL034,Communication 1,active,completed,1,1
379,237183,EL035,Business English,active,completed,1,1
380,203746,EL035,Business English,active,completed,1,1
384,247119,EL035,Business English,active,completed,1,1
385,203764,EL035,Business English,active,completed,1,1
386,237183,EL035,Communication 1,active,completed,1,1
387,203746,EL035,Communication 1,active,completed,1,1
388,213863,EL035,Communication 1,active,completed,1,1
389,213898,EL035,Communication 1,active,completed,1,1
390,213946,EL035,Communication 1,active,completed,1,1
391,227104,EL035,Communication 1,active,completed,1,1
401,247172,EL037,Foundation,active,completed,1,1
402,213881,EL037,Foundation,active,completed,1,1
403,213854,EL037,Foundation,active,completed,1,1
404,213805,EL037,Foundation,active,completed,1,1
405,173232,EL037,Foundation,active,completed,1,1
406,203701,EL037,Foundation,active,completed,1,1
407,213935,EL037,Foundation,active,completed,1,1
408,227063,EL037,Foundation,active,completed,1,1
409,213916,EL037,Foundation,active,completed,1,1
410,247172,EL037,Communication 1,active,completed,2,2
413,173232,EL037,Communication 1,active,completed,2,2
414,203701,EL037,Communication 1,active,completed,2,2
417,213916,EL037,Communication 1,active,completed,2,2
422,247313,EL038,Communication 1,active,completed,1,1
423,237110,EL038,Communication 1,active,completed,1,1
424,213870,EL038,Communication 1,active,completed,1,1
425,237160,EL038,Communication 1,active,completed,1,1
432,227035,EL039,Communication 1,active,completed,5,5
438,173268,EL040,Extension of Foundation,active,completed,1,1
439,193496,EL040,Extension of Foundation,active,completed,1,1
440,193490,EL040,Extension of Foundation,active,completed,1,1
442,183322,EL040,Foundation,active,completed,1,1
443,173246,EL040,Foundation,active,completed,1,1
445,247064,EL040,Foundation,active,completed,1,1
446,227091,EL040,Foundation,active,completed,1,1
455,193607,EL041,Communication 1,active,completed,1,1
457,247102,EL042,Communication 1,active,completed,1,1
458,247063,EL042,Communication 1,active,completed,1,1
459,227218,EL042,Communication 1,active,completed,1,1
460,227035,EL042,Communication 1,active,completed,1,1
461,247062,EL042,Communication 1,active,completed,1,1
462,247147,EL042,Communication 1,active,completed,1,1
471,213844,EL043,Foundation,active,completed,4,4
474,247082,EL043,Foundation,active,completed,4,4
475,183330,EL043,Foundation,active,completed,1,1
507,237103,EL048,Communication 1,active,completed,3,3
538,193511,EL050,Foundation,active,completed,2,2
539,193523,EL008,Business English,active,completed,2,2
540,193526,EL008,Business English,active,completed,2,2
541,193633,EL050,Foundation,active,completed,2,2
542,203780,EL008,Business English,active,completed,2,2
543,213817,EL046,Communication 1,active,completed,2,2
544,213929,EL044,Communication 1,active,completed,1,1
545,213975,EL037,Communication 2,active,completed,10,10
546,227177,EL050,Foundation,active,completed,2,2
547,237117,EL008,Business English,active,completed,2,2
548,237161,EL008,Business English,active,completed,4,4
549,247185,EL050,Foundation,active,completed,2,2
550,257132,EL050,Foundation,active,completed,2,2
551,257133,EL050,Foundation,active,completed,2,2
552,267040,EL051,Communication 1,active,completed,2,2
